measure_id,blind_id,trial_number,trial_id,condition,condition_label,claim_id,component_id,category,preservation_score,distortion_score
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T10,M02-T10-C03,baseline_context,0,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T10,M02-T10-C04,baseline_context,0,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T11,M02-T11-C01,fiscal_mechanism,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T11,M02-T11-C02,fiscal_mechanism,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T12,M02-T12-C01,funding_allocation,0,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T12,M02-T12-C02,funding_allocation,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T12,M02-T12-C03,funding_allocation,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T13,M02-T13-C01,funding_allocation,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T13,M02-T13-C02,funding_allocation,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T13,M02-T13-C03,funding_allocation,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T13,M02-T13-C04,funding_allocation,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T14,M02-T14-C01,affected_groups,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T14,M02-T14-C02,affected_groups,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T14,M02-T14-C03,affected_groups,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T14,M02-T14-C04,affected_groups,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T15,M02-T15-C01,fiscal_effect,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T15,M02-T15-C02,fiscal_effect,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T16,M02-T16-C01,fiscal_cost,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T16,M02-T16-C02,fiscal_cost,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T17,M02-T17-C01,fiscal_cost,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T17,M02-T17-C02,fiscal_cost,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T17,M02-T17-C03,fiscal_cost,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T17,M02-T17-C04,fiscal_cost,1,0
M02,M02-B002,1,M02-trial01,independent_ensemble,Independent ensemble,M02-T17,M02-T17-C05,fiscal_cost,1,0
