measure_id,trial_id,trial_number,blind_id,condition,condition_label,claim_weighted_preservation,component_weighted_preservation,mean_component_distortion_severity,any_distortion_rate,material_distortion_rate,n_claims,n_components
M04,M04-trial03,3,M04-B011,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial01,1,M04-B012,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial01,1,M04-B013,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial02,2,M04-B014,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial02,2,M04-B015,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial01,1,M04-B016,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,5,12
M05,M05-trial03,3,M05-B001,normal_debate,Normal debate,0.7009803921568627,0.703125,0.015625,0.015625,0.0,17,64
M05,M05-trial02,2,M05-B002,independent_ensemble,Independent ensemble,0.7009803921568627,0.703125,0.0,0.0,0.0,17,64
M05,M05-trial04,4,M05-B003,independent_ensemble,Independent ensemble,0.6666666666666666,0.671875,0.0,0.0,0.0,17,64
M05,M05-trial04,4,M05-B004,single_agent,Single agent,0.6549019607843137,0.65625,0.0,0.0,0.0,17,64
M05,M05-trial01,1,M05-B005,independent_ensemble,Independent ensemble,0.642156862745098,0.65625,0.0,0.0,0.0,17,64
M05,M05-trial01,1,M05-B006,critic_debate,Critic debate,0.8215686274509804,0.828125,0.15625,0.15625,0.0,17,64
M05,M05-trial02,2,M05-B007,normal_debate,Normal debate,0.6470588235294117,0.65625,0.0,0.0,0.0,17,64
M05,M05-trial03,3,M05-B008,single_agent,Single agent,0.7009803921568627,0.71875,0.0,0.0,0.0,17,64
M05,M05-trial04,4,M05-B009,critic_debate,Critic debate,0.7990196078431372,0.8125,0.0,0.0,0.0,17,64
M05,M05-trial02,2,M05-B010,critic_debate,Critic debate,0.8284313725490196,0.84375,0.0625,0.0625,0.0,17,64
M05,M05-trial02,2,M05-B011,single_agent,Single agent,0.6549019607843137,0.65625,0.0,0.0,0.0,17,64
M05,M05-trial01,1,M05-B012,single_agent,Single agent,0.6892156862745098,0.6875,0.0,0.0,0.0,17,64
M05,M05-trial03,3,M05-B013,independent_ensemble,Independent ensemble,0.6843137254901961,0.6875,0.09375,0.09375,0.0,17,64
M05,M05-trial03,3,M05-B014,critic_debate,Critic debate,0.8245098039215686,0.828125,0.0,0.0,0.0,17,64
M05,M05-trial04,4,M05-B015,normal_debate,Normal debate,0.6862745098039216,0.6875,0.078125,0.078125,0.0,17,64
M05,M05-trial01,1,M05-B016,normal_debate,Normal debate,0.6666666666666666,0.671875,0.0,0.0,0.0,17,64
M06,M06-trial01,1,M06-B001,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial03,3,M06-B002,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial04,4,M06-B003,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial04,4,M06-B004,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial02,2,M06-B005,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial01,1,M06-B006,single_agent,Single agent,0.9722222222222222,0.9655172413793104,0.0,0.0,0.0,9,29
M06,M06-trial04,4,M06-B007,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial02,2,M06-B008,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,9,29
M06,M06-trial01,1,M06-B009,normal_debate,Normal debate,0.9444444444444444,0.9310344827586207,0.0,0.0,0.0,9,29
