condition,condition_label,n_measures,n_outputs,claim_weighted_preservation,claim_weighted_preservation_sd_across_measures,component_weighted_preservation,component_weighted_preservation_sd_across_measures,mean_component_distortion_severity,mean_component_distortion_severity_sd_across_measures,any_distortion_rate,any_distortion_rate_sd_across_measures,material_distortion_rate,material_distortion_rate_sd_across_measures
single_agent,Single agent,10,40,0.8802876542030953,0.1259178533264086,0.8792369006480172,0.12546292645336068,0.01483228330808976,0.022375050940090607,0.01383228330808976,0.020255127765873234,0.001,0.0031622776601683794
independent_ensemble,Independent ensemble,10,40,0.8929087619896444,0.1201749719286664,0.8863469870762348,0.12418770595004162,0.021136010761115046,0.024766731048443805,0.01832955914821182,0.021219892445962597,0.0028064516129032257,0.006551290914687055
normal_debate,Normal debate,10,40,0.8901594330914184,0.11532547207667589,0.8849153474329711,0.11754685621713407,0.023824618686374803,0.02425326821082833,0.023824618686374803,0.02425326821082833,0.0,0.0
critic_debate,Critic debate,10,40,0.9214218604108311,0.0775929256604938,0.9200912435034375,0.07937940451124591,0.028851505824079516,0.024584032390219803,0.026851505824079514,0.022493041072082637,0.002,0.006324555320336759
